Week,ChatGPT,COVID-19,TikTok
2020-01-01,0,0,6
2020-02-01,0,2,7
2020-03-01,0,43,9
2020-04-01,0,54,13
2020-05-01,0,33,14
2020-06-01,0,33,15
2020-07-01,0,37,17
2020-08-01,0,39,17
2020-09-01,0,42,17
2020-10-01,0,49,13
2020-11-01,0,32,14
2020-12-01,0,44,14
2021-01-01,0,43,17
2021-02-01,0,35,19
2021-03-01,0,39,17
2021-04-01,0,43,16
2021-05-01,0,43,16
2021-06-01,0,43,16
2021-07-01,0,60,15
2021-08-01,0,41,15
2021-09-01,0,35,15
2021-10-01,0,39,14
2021-11-01,0,61,14
2021-12-01,0,59,16
2022-01-01,0,57,17
2022-02-01,0,41,18
2022-03-01,0,32,18
2022-04-01,0,22,18
2022-05-01,0,16,18
2022-06-01,0,18,18
2022-07-01,0,18,18
2022-08-01,0,11,17
2022-09-01,0,11,18
2022-10-01,0,15,19
2022-11-01,0,9,20
2022-12-01,8,10,19
2023-01-01,15,7,19
2023-02-01,18,7,19
2023-03-01,24,7,20
2023-04-01,28,5,18
2023-05-01,29,4,18
2023-06-01,29,3,18
2023-07-01,16,3,18
2023-08-01,14,5,17
2023-09-01,22,6,18
2023-10-01,25,6,19
2023-11-01,27,6,19
2023-12-01,27,9,18
2024-01-01,25,7,19
2024-02-01,28,4,20
2024-03-01,29,3,19
2024-04-01,27,3,18
2024-05-01,27,3,18
2024-06-01,32,4,19
2024-07-01,20,6,17
2024-08-01,21,4,17
2024-09-01,39,5,19
2024-10-01,45,5,21
2024-11-01,50,4,19
2024-12-01,53,3,21
2025-01-01,58,3,28
2025-02-01,59,3,21
2025-03-01,64,3,20
2025-04-01,73,2,20
2025-05-01,77,3,21
2025-06-01,90,3,20
2025-07-01,77,3,21
2025-08-01,73,3,21
2025-09-01,100,4,21
2025-10-01,98,4,22
2025-11-01,100,4,28
2025-12-01,94,5,26
