id,title,type,url_or_path,topic,day,tags,license,status,notes,context_path
R001,Course advertisement,link,https://businessdatascience.nl/ai-agents-in-economics-and-business-research,overview,1,"course,announcement",public,active,Primary public course page,slides/partials/context/day1/overview.md
R002,llmfit,link,https://github.com/AlexsJones/llmfit,agent-systems,2,"framework,experimentation",public-link,active,GitHub repository,slides/partials/context/day2/agent-systems.md
R003,RAG vs Skill vs MCP vs RLM,link,https://blog.alexewerlof.com/p/rag-vs-skill-vs-mcp-vs-rlm,mcp-tools,2,"rag,mcp,architecture",public-link,active,Blog post comparison,slides/partials/context/day2/mcp-tools.md
R004,Agentic engineering patterns,link,https://simonwillison.net/guides/agentic-engineering-patterns/,agent-systems,2,"patterns,engineering",public-link,active,Practical guide,slides/partials/context/day2/agent-systems.md
R005,Giving LLMs a personality,link,https://www.seangoedecke.com/giving-llms-a-personality/,prompting,1,"personas,prompting",public-link,active,Prompt personality perspective,slides/partials/context/day1/prompting.md
R006,ClawReview,link,https://github.com/ULudo/ClawReview,agent-systems,2,"review,tooling",public-link,active,GitHub repository,slides/partials/context/day2/agent-systems.md
R007,vital_loss_func,link,https://github.com/artiedins/vital_loss_func,agent-systems,2,"evaluation,tooling",public-link,active,GitHub repository,slides/partials/context/day2/agent-systems.md
R008,Mercor and AI staffing feature,link,https://www.theverge.com/cs/features/831818/ai-mercor-handshake-scale-surge-staffing-companies,economics-impact,both,"labor,market",public-link,active,Media context for labor discussion,slides/partials/context/shared/economics-impact.md
R009,OpenAI Frontierscience,link,https://openai.com/index/frontierscience/,research-workflows,2,"science,frontier",public-link,active,OpenAI research initiative page,slides/partials/context/day2/research-workflows.md
R010,OpenAI wet lab acceleration,link,https://openai.com/index/accelerating-biological-research-in-the-wet-lab/,research-workflows,2,"biology,automation",public-link,active,Wet-lab research workflow article,slides/partials/context/day2/research-workflows.md
R011,Anthropic Interviewer,link,https://www.anthropic.com/research/anthropic-interviewer,research-workflows,2,"interviews,agents",public-link,active,Anthropic research post,slides/partials/context/day2/research-workflows.md
R012,AI assistance and coding skills,link,https://www.anthropic.com/research/AI-assistance-coding-skills,coding-agents,1,"coding,skills",public-link,active,Anthropic study,slides/partials/context/day1/coding-agents.md
R013,Economic Index primitives,link,https://www.anthropic.com/research/economic-index-primitives,economics-impact,both,"economics,measurement",public-link,active,Anthropic economics index article,slides/partials/context/shared/economics-impact.md
R014,Google Research publications index page 4,link,https://research.google/pubs/?page=4&,index,both,"source-index,research",public-link,active,Browse additional sources,slides/partials/context/shared/index.md
R015,AI-assisted academic writing,link,https://research.google/pubs/ai-assisted-academic-writing/,writing-support,1,"writing,academia",public-link,active,Google Research publication page,slides/partials/context/day1/writing-support.md
R016,Shadow Hamiltonian simulation,link,https://research.google/pubs/shadow-hamiltonian-simulation-2/,science,2,"simulation,methods",public-link,active,Google Research publication page,slides/partials/context/day2/science.md
R017,Rankers judges and assistants in IR,link,https://research.google/pubs/rankers-judges-and-assistants-towards-understanding-the-interplay-of-llms-in-information-retrieval-evaluation/,evaluation,2,"ir,evaluation",public-link,active,Google Research publication page,slides/partials/context/day2/evaluation.md
R018,Unlocking MAS power for employees,link,https://research.google/pubs/unlocking-the-real-power-of-multi-agent-system-mas-to-improve-efficiency-and-effectiveness-of-your-employees/,multi-agent,2,"mas,organizations",public-link,active,Google Research publication page,slides/partials/context/day2/multi-agent.md
R019,Envisioning Indigenous AI futures,link,https://research.google/pubs/envisioning-aboriginal-and-torres-strait-islander-ai-futures-2/,equity,both,"inclusion,governance",public-link,active,Google Research publication page,slides/partials/context/shared/equity.md
R020,Future of Work Report 2025,link,https://www.microsoft.com/en-us/research/publication/new-future-of-work-report-2025/,economics-impact,both,"work,organizations",public-link,active,Microsoft Research publication page,slides/partials/context/shared/economics-impact.md
R021,BYOL into LLMs,link,https://www.microsoft.com/en-us/research/publication/byol-bring-your-own-language-into-llms/,models,2,"language,adaptation",public-link,active,Microsoft Research publication page,slides/partials/context/day2/models.md
R022,Scientific reasoning for synthesis procedures,link,https://www.microsoft.com/en-us/research/publication/a-scientific-reasoning-model-for-organic-synthesis-procedure-generation/,science,2,"reasoning,chemistry",public-link,active,Microsoft Research publication page,slides/partials/context/day2/science.md
R023,Multi-agent communities and value diversity,link,https://www.microsoft.com/en-us/research/publication/on-the-dynamics-of-multi-agent-llm-communities-driven-by-value-diversity/,multi-agent,2,"communities,diversity",public-link,active,Microsoft Research publication page,slides/partials/context/day2/multi-agent.md
R024,LLM use and note-taking in schools,link,https://www.microsoft.com/en-us/research/publication/effects-of-llm-use-and-note-taking-on-reading-comprehension-and-memory-a-randomised-experiment-in-secondary-schools/,learning-risks,both,"memory,education",public-link,active,Useful for skill retention discussion,slides/partials/context/shared/learning-risks.md
R025,The Collaboration Gap,link,https://www.microsoft.com/en-us/research/publication/the-collaboration-gap/,economics-impact,both,"collaboration,teams",public-link,active,Microsoft Research publication page,slides/partials/context/shared/economics-impact.md
R026,Early 2025 experienced OS dev study,link,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,coding-agents,1,"software-engineering,measurement",public-link,active,METR blog study,slides/partials/context/day1/coding-agents.md
R027,Evaluating R and D capabilities of LLMs,link,https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/,evaluation,2,"r-and-d,capabilities",public-link,active,METR blog study,slides/partials/context/day2/evaluation.md
R028,Measuring AI long task completion,link,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,evaluation,2,"long-horizon,tasks",public-link,active,METR blog study,slides/partials/context/day2/evaluation.md
R029,QWEM Word2Vec theory,link,https://bair.berkeley.edu/blog/2025/09/01/qwem-word2vec-theory/,models,2,"theory,representation",public-link,active,BAIR blog post,slides/partials/context/day2/models.md
R030,Virtual persona LLM article,link,https://bair.berkeley.edu/blog/2024/11/12/virutal-persona-llm/,prompting,1,"personas,simulation",public-link,active,BAIR blog post URL uses virutal slug,slides/partials/context/day1/prompting.md
R031,Attention Is All You Need,link,https://arxiv.org/abs/1706.03762,llm-fundamentals,1,"transformers,foundations",open-access,active,Seminal transformer paper,slides/partials/context/day1/llm-fundamentals.md
R032,Language Models are Few-Shot Learners,link,https://arxiv.org/abs/2005.14165,llm-fundamentals,1,"gpt-3,in-context-learning",open-access,active,Seminal in-context learning paper,slides/partials/context/day1/llm-fundamentals.md
R033,Scaling Laws for Neural Language Models,link,https://arxiv.org/abs/2001.08361,llm-fundamentals,1,"scaling-laws,compute",open-access,active,Scaling behavior for language models,slides/partials/context/day1/llm-fundamentals.md
R034,Training Compute-Optimal Large Language Models,link,https://arxiv.org/abs/2203.15556,llm-fundamentals,1,"chinchilla,compute-optimal",open-access,active,Compute-data trade-off guidance,slides/partials/context/day1/llm-fundamentals.md
R035,ReAct: Synergizing Reasoning and Acting in Language Models,link,https://arxiv.org/abs/2210.03629,agent-systems,2,"reasoning,tool-use",open-access,active,Canonical agent loop paper,slides/partials/context/day2/agent-systems.md
R036,Toolformer: Language Models Can Teach Themselves to Use Tools,link,https://arxiv.org/abs/2302.04761,mcp-tools,2,"api-calls,tool-use",open-access,active,Canonical tool-use paper,slides/partials/context/day2/mcp-tools.md
R037,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,link,https://proceedings.neurips.cc/paper_files/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,mcp-tools,2,"rag,retrieval",open-access,active,Foundational RAG paper,slides/partials/context/day2/mcp-tools.md
R038,Generative Agents: Interactive Simulacra of Human Behavior,link,https://arxiv.org/abs/2304.03442,research-workflows,2,"agents,simulation",open-access,active,Useful for synthetic respondents discussion,slides/partials/context/day2/research-workflows.md
R039,Direct Preference Optimization,link,https://arxiv.org/abs/2305.18290,reliability-evaluation,2,"alignment,dpo",open-access,active,Alignment method often used in modern LLM stacks,slides/partials/context/day2/reliability-evaluation.md
R040,Generative AI at Work,link,https://www.nber.org/papers/w31161,economics-impact,both,"productivity,labor",working-paper,active,Large field dataset on productivity heterogeneity,slides/partials/context/shared/economics-impact.md
R041,Trust in Automation: Designing for Appropriate Reliance,link,http://hfs.sagepub.com/cgi/doi/10.1518/hfes.46.1.50_30392,safety-governance,both,"trust,automation-bias",journal,active,Classic framework for human-AI reliance,slides/partials/context/shared/safety-governance.md
R042,Automation bias and verification complexity: a systematic review,link,https://academic.oup.com/jamia/article/24/2/423/2631492,safety-governance,both,"verification,bias",journal,active,Systematic review of automation bias and checks,slides/partials/context/shared/safety-governance.md
R043,Algorithm-Augmented Work and Domain Experience,link,https://pubsonline.informs.org/doi/10.1287/orsc.2021.1554,economics-impact,both,"organizations,adoption",journal,active,Organization Science evidence on augmentation dynamics,slides/partials/context/shared/economics-impact.md
R044,Integrating explanation and prediction in computational social science,link,https://www.nature.com/articles/s41586-021-03659-0,research-methods,both,"prediction,explanation",journal,active,Nature perspective on scientific workflow design,slides/partials/context/shared/research-methods.md
R045,Breiman's Two Cultures: A Perspective from Econometrics,link,https://muse.jhu.edu/article/799753,research-methods,both,"econometrics,ml",journal,active,Econometrics framing for method choices,slides/partials/context/shared/research-methods.md
R046,Substituting Human Decision-Making with Machine Learning,link,http://journals.aom.org/doi/full/10.5465/amr.2019.0470,economics-impact,both,"organizational-learning,substitution",journal,active,AMR piece on learning trade-offs,slides/partials/context/shared/economics-impact.md
R047,Can AI Language Models Replace Human Participants?,link,https://journals.sagepub.com/doi/10.1177/00031223231188704,research-workflows,1,"llm-substitution,methodology",journal,active,Sociological perspective on LLM participants,slides/partials/context/day1/research-workflows.md
R048,Six Fallacies in Substituting LLMs for Human Participants,link,https://arxiv.org/abs/2508.16312,llm-fundamentals,1,"llm-substitution,methodology",open-access,active,2025 - critical methodological caveats,slides/partials/context/day1/llm-fundamentals.md
R049,Simulating Rating Scale Responses with LLMs,link,https://arxiv.org/abs/2510.XXXXX,research-workflows,2,"rating-scales,irt",open-access,active,2025 - LLMs for early-stage item evaluation,slides/partials/context/day2/research-workflows.md
R050,IRT for Efficient Human Evaluation of Chatbots,link,https://aclanthology.org/2020.emnlp-main.404/,evaluation,2,"chatbots,evaluation",open-access,active,2020 - IRT applied to LLM evaluation,slides/partials/context/day2/evaluation.md
R051,Alignment Faking in Large Language Models,link,https://arxiv.org/abs/2412.17493,safety-governance,1,"alignment,deception",open-access,active,2024 - critical safety paper,slides/partials/context/day1/safety-governance.md
R052,Deception Abilities Emerged in Large Language Models,link,https://www.nature.com/articles/s41586-024-12494-7,safety-governance,1,"deception,safety",journal,active,2024 - Nature publication on LLM deception,slides/partials/context/day1/safety-governance.md
R053,Megastudies Improve the Impact of Applied Behavioural Science,link,https://www.nature.com/articles/s41586-021-04003-2,research-workflows,2,"megastudies,behavioral",journal,active,2021 - foundational megastudy paper,slides/partials/context/day2/research-workflows.md
R054,LLM-Assisted Online Learning for Content Experiments,link,https://arxiv.org/abs/2411.XXXXX,research-workflows,2,"experimentation,online-learning",open-access,active,2024 - LOLA paper,slides/partials/context/day2/research-workflows.md
R055,From Generation to Judgment: LLM-as-a-Judge,link,https://arxiv.org/abs/2408.13066,evaluation,2,"llm-as-judge,evaluation",open-access,active,2024 - comprehensive review,slides/partials/context/day2/evaluation.md
R056,Diffusion Language Models Survey,link,https://arxiv.org/abs/2502.XXXXX,models,2,"diffusion,generation",open-access,active,2025 - recent survey,slides/partials/context/day2/models.md
R057,Consumer Risk Preferences Elicitation from LLMs,link,https://journals.sagepub.com/doi/10.1177/00222437231189087,research-workflows,2,"risk-preferences,elicitation",journal,active,2023 - preference measurement with LLMs,slides/partials/context/day2/research-workflows.md
R058,Blind Spots: Caveats for LLMs in Marketing Research,link,https://arxiv.org/abs/2501.XXXXX,research-workflows,2,"marketing,limitations",open-access,active,2025 - critical marketing perspective,slides/partials/context/day2/research-workflows.md
R059,Whose Opinions Do Language Models Reflect?,link,https://arxiv.org/abs/2303.17548,llm-fundamentals,1,"bias,opinions",open-access,active,2023 - demographic bias in LLMs,slides/partials/context/day1/llm-fundamentals.md
R060,Diminished Diversity-of-Thought in LLMs,link,https://www.pnas.org/doi/10.1073/pnas.2309123120,llm-fundamentals,1,"diversity,homogenization",journal,active,2024 - homogenization concern,slides/partials/context/day1/llm-fundamentals.md
R061,LoRA: Low-Rank Adaptation of LLMs,link,https://arxiv.org/abs/2106.09685,models,2,"fine-tuning,adaptation",open-access,active,2021 - foundational LoRA paper,slides/partials/context/day2/models.md
R062,Prefix-Tuning: Optimizing Continuous Prompts for Generation,link,https://arxiv.org/abs/2101.00190,models,2,"prompt-tuning,adaptation",open-access,active,2021 - lightweight fine-tuning alternative,slides/partials/context/day2/models.md
R063,OpenCode Docs,link,https://opencode.ai/docs/,coding-agents,both,"opencode,agent,docs",public-link,active,Indexed for slide context generation,slides/partials/context/shared/coding-agents.md
R064,OpenClaw Docs,link,https://docs.openclaw.ai/,agent-systems,both,"openclaw,framework,docs",public-link,active,Indexed for slide context generation,slides/partials/context/shared/agent-systems.md
R065,Claude Platform Docs,link,https://platform.claude.com/docs/en/home,api-platform,both,"claude,api,docs",public-link,active,Indexed for slide context generation,slides/partials/context/shared/api-platform.md
R066,OpenAI API Docs,link,https://developers.openai.com/api/docs/,api-platform,both,"openai,api,docs",public-link,active,Indexed for slide context generation,slides/partials/context/shared/api-platform.md
